Timestamp,Temperature (°C),Anomaly
2025-01-01 00:00:00,-196.16898013978306,0
2025-01-01 00:01:00,-196.3640754018902,0
2025-01-01 00:02:00,-196.23455768549874,0
2025-01-01 00:03:00,-197.03053527592095,0
2025-01-01 00:04:00,-196.53331811366675,0
2025-01-01 00:05:00,-195.79507434542825,0
2025-01-01 00:06:00,-195.8134246677724,0
2025-01-01 00:07:00,-195.18759247412055,0
2025-01-01 00:08:00,-196.0334485533036,0
2025-01-01 00:09:00,-196.37020753835117,0
2025-01-01 00:10:00,-196.01193452786015,0
2025-01-01 00:11:00,-195.89917477707328,0
2025-01-01 00:12:00,-195.17710801630727,0
2025-01-01 00:13:00,-196.15231677081897,0
2025-01-01 00:14:00,-195.94947010579244,0
2025-01-01 00:15:00,-195.8196738389893,0
2025-01-01 00:16:00,-195.63771195117477,0
2025-01-01 00:17:00,-196.47758160145506,0
2025-01-01 00:18:00,-196.2954262230985,0
2025-01-01 00:19:00,-195.45606643729005,0
2025-01-01 00:20:00,-195.89955175632645,0
2025-01-01 00:21:00,-195.77674832427056,0
2025-01-01 00:22:00,-195.0075077167498,0
2025-01-01 00:23:00,-196.42225796495308,0
2025-01-01 00:24:00,-195.960152893096,0
2025-01-01 00:25:00,-195.64294188013463,0
2025-01-01 00:26:00,-195.21990108446215,0
2025-01-01 00:27:00,-195.8931283762919,0
2025-01-01 00:28:00,-196.09076373467315,0
2025-01-01 00:29:00,-195.62373025101803,0
2025-01-01 00:30:00,-196.83608957266244,0
2025-01-01 00:31:00,-196.56627438316963,0
2025-01-01 00:32:00,-195.9497691983296,0
2025-01-01 00:33:00,-197.0849769096426,0
2025-01-01 00:34:00,-196.86552128520287,0
2025-01-01 00:35:00,-195.93916209093604,0
2025-01-01 00:36:00,-195.34847700012432,0
2025-01-01 00:37:00,-196.2708796290369,0
2025-01-01 00:38:00,-196.19202591637458,0
2025-01-01 00:39:00,-195.94799088823535,0
2025-01-01 00:40:00,-195.83417533635577,0
2025-01-01 00:41:00,-196.05664209273388,0
2025-01-01 00:42:00,-195.33688452283508,0
2025-01-01 00:43:00,-195.4967636274981,0
2025-01-01 00:44:00,-196.1266782872881,0
2025-01-01 00:45:00,-195.7025083530983,0
2025-01-01 00:46:00,-195.60359631261258,0
2025-01-01 00:47:00,-196.24709100243516,0
2025-01-01 00:48:00,-196.1448635973772,0
2025-01-01 00:49:00,-195.87395068474652,0
2025-01-01 00:50:00,-195.77463144598028,0
